sku,fnsku,asin,product-name,condition,your-price,mfn-listing-exists,mfn-fulfillable-quantity,afn-listing-exists,afn-warehouse-quantity,afn-fulfillable-quantity,afn-unsellable-quantity,afn-reserved-quantity,afn-total-quantity,per-unit-volume,afn-inbound-working-quantity,afn-inbound-shipped-quantity,afn-inbound-receiving-quantity,afn-researching-quantity,afn-reserved-future-supply,afn-future-supply-buyable,afn-fulfillable-quantity-local,afn-fulfillable-quantity-remote,store,report_date
amzn.gr.ACS09056PAN-CrkJCB4RhquRmgHKd-LN,X0028Q1Y7F,B0DL7NWC79,"Spigen NanoPop MagFit Hülle für Samsung Galaxy S25 Ultra, Kompatibel mit MagSafe -Blueberry Navy",UsedLikeNew,25.19,No,,Yes,3,1,0,2,3,306.77,0,0,0,0,0,0,1,0,,20260319
ACS09702PAN,B0F49GQVQ4,B0F49GQVQ4,"Spigen Ultra Hybrid MagFit Hülle für Google Pixel 10 und Pixel 10 Pro, Kompatibel Mit Pixelsnap und MagSafe [2025 Neue Funktion] [Made for Google] -Clear White",New,21.99,No,,Yes,415,333,9,72,785,287.59,0,370,0,1,0,120,333,0,,20260329
ACS06019PAN,B0BZHVTFBT,B0BZHVTFBT,"Spigen wasserdichte Handyhülle [Aqua Shield] [2 Stick] IPX8 wasserfeste Handytasche Unterwasser Hülle kompatibel mit iPhone 16/15/14/13 Serien, Galaxy S25/S24/S23 und Allen Smartphones - Mint",New,18.99,No,,Yes,24,24,0,0,24,1749.81,0,0,0,0,0,0,24,0,,20260307
ACS09926PAN,B0FD2FMDS8,B0FD2FMDS8,"Spigen iPhone Air Hülle [2025 Upgrade 360° Ständer] [Dura Clear] Ultra Hybrid S MagFit Case Handyhülle Stoßfest Kratzfest, Kompatibel mit MagSafe -Clear White",New,24.99,No,,Yes,84,84,0,0,84,336.92,0,0,0,0,0,0,84,0,,20260308
ACS07668PAN,B0CW2C6WDL,B0CW2C6WDL,Spigen Ultra Hybrid Pro Hülle für iPad Air 13 Zoll 8. M4 / 7. M3 / 6. Generation M2 (2026/25/24) mit Stifthalter Auto Schlaf/Wach Funktion Transparenter Rückseitenschale Veganes Veloleder - Schwarz,New,29.99,No,,Yes,70,60,2,8,70,1723.92,0,0,0,0,0,0,60,0,,20260315
AFL00901PAN,B08392XXMM,B08392XXMM,"Spigen NeoFlex Schutzfolie kompatibel mit Samsung Galaxy S20 Plus, 2 Stück, Kratzfest, PET Film, Wasserinstallation Folie",New,15.99,No,,Yes,0,0,0,0,0,394.93,0,0,0,0,0,0,0,0,,20260314
AGL07395EUP,X001XKG3E1,B0CMRJSVY5,"Spigen AlignMaster Schutzfolie kompatibel mit Google Pixel 8 Pro, 2 Stück, Kratzfest, 9H Härte Folie",New,18.99,No,,Yes,356,336,1,19,356,480.8,0,0,0,0,0,0,336,0,,20260316
ACS10426PAN,B0FQRC6K3T,B0FQRC6K3T,"Spigen Volkswagen Schlüsselhülle [1 Stück], TPU Schlüsselgehäuse, Autoschlüssel Hülle für VW, SKODA mit Karabiner und Riemen, Kompatibel mit VW Smart Key Fernbedienung Cover Zubehör - Schwarz",New,28.99,No,,Yes,168,110,0,57,168,494.73,0,0,0,1,0,0,110,0,,20260329
ACS11203PAN,B0G7MY5GYV,B0G7MY5GYV,Spigen Classic Fit Hülle Kompatibel mit Samsung Galaxy Buds 4 Pro/Buds 4 (2026) - Matt Schwarz,New,20.99,No,,Yes,404,361,2,40,404,303.98,0,0,0,1,0,0,361,0,,20260328
ACS07998PAN,B0D21FFYPH,B0D21FFYPH,Spigen für iPhone 16 Pro Max Hülle [Anti-Yellowing] Ultra Hybrid MagFit Case Handyhülle Transparent Dünn Slim Kompatibel mit MagSafe -Weiß,New,18.95,No,,Yes,150,144,2,3,150,374.12,0,0,0,1,0,0,144,0,,20260322
amzn.gr.AFA08852PAN-qdJP_5hnNFCeExinU-VG,X002DDELAZ,B0DK7SX87C,Spigen Reisepass Hülle mit Airtag Fach Passport Cover mit RFID-Blockierung und SIM-Karten-Pin aus Kunstleder Kompatibel mit AirTag 2 2026/1 2021 und den meisten Pässen - Schwarz,UsedVeryGood,22.94,No,,Yes,0,0,0,0,0,625.33,0,0,0,0,0,0,0,0,,20260326
ACS09373PAN,B0DV62HC7M,B0DV62HC7M,Spigen Ultra Hybrid Hülle Kompatibel mit Nothing Phone (3a) -Space Crystal,New,16.99,No,,Yes,495,458,1,36,496,1574.47,0,0,1,0,0,0,458,0,,20260311
amzn.gr.ACS07352PAN-dsbnVKDUL_jGZJ1l--VG,X002BZH4J5,B0CM4NTS3Q,Spigen Ultra Hybrid Hülle Kompatibel mit Samsung Galaxy S24 -Schwarz,UsedVeryGood,14.44,No,,Yes,1,1,0,0,1,292.35,0,0,0,0,0,0,1,0,,20260320
K09CS26485PAN,B07RY67KWY,B07RY67KWY,Spigen Tough Armor Hülle Kompatibel mit Oneplus 7 Pro -Schwarz,New,19.99,No,,Yes,72,69,0,3,72,277.11,0,0,0,0,0,0,69,0,,20260305
AGL05966PAN,B0BWXSWB5J,B0BWXSWB5J,"Spigen AlignMaster Schutzfolie kompatibel mit Samsung Galaxy A54 5G, 2 Stück, Kratzfest, 9H Härte Folie",New,13.99,No,,Yes,287,216,0,70,437,763.8,0,150,0,1,0,0,216,0,,20260304
ACS07716PAN,B0CVRH4HTL,B0CVRH4HTL,Spigen Liquid Air Hülle Kompatibel mit Google Pixel 9 Pro XL [Made for Google] -Schwarz,New,14.99,No,,Yes,70,67,0,3,70,340.36,0,0,0,0,0,0,67,0,,20260318
ACS08133PAN,B0D21X1FP9,B0D21X1FP9,Spigen für iPhone 16 Pro Hülle [Anti-Yellowing] Ultra Hybrid MagFit Case Handyhülle Transparent Dünn Slim Kompatibel mit MagSafe -Frost Clear,New,22.99,No,,Yes,92,75,0,17,102,290.71,10,0,0,0,0,0,75,0,,20260307
ACS06707PAN,B0C5S8CDT2,B0C5S8CDT2,Spigen für iPhone 15 Pro Ultra Hybrid Hülle [Anti-Yellowing] Case Handyhülle Schutzhülle Cover Transparent Durchsichtig Dünn Slim -Crystal Clear,New,12.99,No,,Yes,568,507,0,61,598,248.59,0,30,0,0,0,0,507,0,,20260324
ACS09310PAN,B0DQ67JGXW,B0DQ67JGXW,Spigen Dual Grip Hülle Kompatibel mit Nintendo Switch 2 2025 Case Zubehör - Schwarz,New,19.99,No,,Yes,327,214,1,109,537,2265.51,160,50,0,3,0,0,214,0,,20260305
ACS07345PAN,B0CM57Z1G3,B0CM57Z1G3,Spigen Liquid Crystal Hülle Kompatibel mit Samsung Galaxy S24 -Glitter Crystal Quartz,New,15.99,No,,Yes,109,83,0,26,109,289.23,0,0,0,0,0,0,83,0,,20260318
ACS11032PAN,B0FVBPTQT2,B0FVBPTQT2,"Spigen Ultra Hybrid S MagFit für Samsung Galaxy S26 Ultra Hülle [3 Standmodi Ständer] Case Handyhülle Stoßfest Kratzfest, Kompatibel mit MagSafe -Clear White",New,29.99,No,,Yes,374,0,0,371,1254,374.12,380,500,0,3,0,0,0,0,,20260307
ACS09844PAN,B0FDN82XKK,B0FDN82XKK,"Spigen für Samsung Galaxy A17 4G/5G Hülle [Fallschutz in Militärqualität, Karbonfaser Akzente] Rugged Armor Handyhülle case -Matte Black",New,13.99,No,,Yes,618,505,0,113,989,318.24,0,370,1,0,0,370,505,0,,20260319
AFA10227PAN,B0FP6FXLH5,B0FP6FXLH5,"Spigen TinTap Zip MagFit MagSafe Kartenhalter Pouch mit RFID Blocking Kompatibel mit iPhone 17/16/15–12 Serie, AirPods Pro 3–1, AirPods 4–1 und Google Pixel 10 Serie mit Pixelsnap - Olivgrün",New,27.99,No,,Yes,62,62,0,0,62,519.63,0,0,0,0,0,50,62,0,,20260323
ACS08951PAN,B0DJ9V6CP6,B0DJ9V6CP6,"Spigen Rugged Armor MagFit Hülle für Samsung Galaxy S25 Ultra, Kompatibel mit MagSafe -Schwarz",New,20.99,No,,Yes,372,361,5,5,372,355.11,0,0,0,1,0,0,361,0,,20260305
amzn.gr.ACS09551PAN-tlAZ7Ki4kdwEzX9fn-LN,X002DBVZ79,B0F1BGJNHX,"Spigen Slim Armor Pro MagFit Hülle für Samsung Galaxy Z Fold 7, MagSafe kompatibel mit [SecuLink] Metallverbindung am Scharnier für sicheren Halt -Schwarz",UsedLikeNew,53.99,No,,Yes,22,20,0,2,22,468.51,0,0,0,0,0,0,20,0,,20260308
