date,attributedSalesSameSku1d,campaignBiddingStrategy,unitsSoldClicks1d,attributedSalesSameSku7d,topOfSearchImpressionShare,attributedSalesSameSku14d,royaltyQualifiedBorrows,sales1d,sales7d,addToList,campaignRuleBasedBudgetAmount,attributedSalesSameSku30d,kindleEditionNormalizedPagesRoyalties14d,purchasesSameSku14d,spend,purchasesSameSku1d,campaignBudgetType,unitsSoldSameSku1d,campaignStatus,purchases1d,purchasesSameSku7d,unitsSoldSameSku7d,campaignBudgetAmount,purchases7d,unitsSoldSameSku30d,cost,costPerClick,unitsSoldClicks14d,campaignId,sales14d,clickThroughRate,sales30d,impressions,kindleEditionNormalizedPagesRead14d,campaignApplicableBudgetRuleName,purchasesSameSku30d,purchases14d,unitsSoldClicks30d,qualifiedBorrows,campaignBudgetCurrencyCode,purchases30d,campaignApplicableBudgetRuleId,clicks,campaignName,unitsSoldSameSku14d,unitsSoldClicks7d
2026-03-24,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,15.0,0,0,0.0,0.0,0,158897344774467,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,22_20_06_01_SP_F31QC_zigarettenanzünder usb_exact_jsmun_0525,0,0
2026-03-09,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,200.0,0,0,0.0,0.0,0,219186965497997,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,12_11_01_03_iP12/12Pro_LA_Jinny_210708,0,0
2026-03-07,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,50.0,0,0,0.0,0.0,0,129976190682886,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,22_31_04_00_galaxy s10e nf_sypark_0217,0,0
2026-03-25,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,30.0,0,0,0.0,0.0,0,150686268854803,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,12_11_01_26_xiaomi poco m4 pro 5g_auto_Kate_0411,0,0
2026-03-25,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,50.0,0,0,0.0,0.0,0,28063162859002,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,22_12_06_00_kuel_qs11_hooni_190304,0,0
2026-03-24,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,PAUSED,0,0,0,80.0,0,0,0.0,0.0,0,346356916540870,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,12_11_01_03_A_iPhone 17 Pro_SP_AMC,0,0
2026-03-30,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,70.0,0,0,0.0,0.0,0,223779773745976,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,22_12_03_00_galaxya9_LA_jinny_1126,0,0
2026-03-30,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,35.0,0,0,0.0,0.0,0,135558043731117,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,22006578_iPhone XS_sunny_1201-123118,0,0
2026-03-16,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,50.0,0,0,0.0,0.0,0,176234522596510,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,NBS1_iph7_glitterrose_Davidkim_0710,0,0
2026-03-28,0.0,optimizeForSales,0,0.0,38.89,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,50.0,0,0,0.0,0.0,0,555977933995001,0.0,0.0,0.0,124,0,,0,0,0,0,EUR,0,,0,12_15_04_23_DE_Galaxy S26 Plus EZ Fit Optik Pro Black_Keyword SPN_260225_yeseo,0,0
2026-03-05,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,20.0,0,0,0.0,0.0,0,266237290074733,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,12_30_06_32_Garmin Vivoactive 3 EZ Fit_0406_grace,0,0
2026-03-06,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,15.0,0,0,0.0,0.0,0,251643066593239,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,12_20_10_00_SP_C10CL1P_usb c lightning/iphone 11 ladekabel_exact_jsmun_0615,0,0
2026-03-18,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,50.0,0,0,0.0,0.0,0,66678147842022,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,22_31_04_00_glass_galtaba10.1_sypark_0716,0,0
2026-03-11,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,10.0,0,0,0.0,0.0,0,91459828632974,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,22006579_galaxy note 9_sunny_1002_1013,0,0
2026-03-29,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,50.0,0,0,0.0,0.0,0,154975964591543,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,22_12_02_00_GalaxyS10_LCCC_Jinny,0,0
