item-name,item-description,listing-id,seller-sku,price,quantity,open-date,image-url,item-is-marketplace,product-id-type,zshop-shipping-fee,item-note,item-condition,zshop-category1,zshop-browse-path,zshop-storefront-feature,asin1,asin2,asin3,will-ship-internationally,expedited-shipping,zshop-boldface,product-id,bid-for-featured-placement,add-delete,pending-quantity,fulfillment-channel,merchant-shipping-group,status,Minimum order quantity,Sell remainder
Spigen Silicone Fit Designed for Galaxy Buds Live Variation Parent,"Die Silikon-Passform bietet Rundumschutz für Ihr Galaxy Buds Live mit einem zusätzlichen Hauch von Alltagskomfort - gemacht, um der neue beste Freund Ihrer Knospe zu sein.",0706XJI22RI,ASD01277V,16.99,0.0,07/07/2020 00:17:11 MEST,,y,1,,,11.0,,,,B08CGBHQG6,,,,,,B08CGBHQG6,,,0.0,DEFAULT,Standardvorlage Amazon,Inactive,,
"Spigen Essential 15W MagSafe Ladegerät Charger [inkl. 60W USB-C Kabel] Magnetische Kabellose Ladestation für iPhone 17e 17 Pro Max & MagSafe Hüllen für Samsung Galaxy S26, Pixel 10a 10 Pro XL, Schwarz",Spigen,0127HFKWD70,ACH10441PAN,17.99,,27/01/2026 09:24:59 MET,,y,4,,,11.0,,,,B0GJZZRMJF,,,,,,8800283315738,,,,AMAZON_EU,Standardvorlage Amazon,Active,,
Spigen Thin Fit 360 Hülle Kompatibel mit Samsung Galaxy S10e -Schwarz,"Entwickelt für das Rund-um Schutz des Handys, sodass alle Anschlüsse und Buttons bestens zu erreichen sind; Die Air Cushion Technologie ist in den meisten Hüllen integriert speziell für den Eckschutz; Der erhöhte Rand rund um das Display und Kamera schützt diese vor Kratzer und Brüchen",0214V76OAB6,609CS25831DEPX,19.89,,14/02/2019 07:54:20 MET,,y,4,,,11.0,,,,B07MCVWHQ2,,,,,,8809640252587,,,,AMAZON_EU,Standardvorlage Amazon,Inactive,,
"Spigen Phone Ring, Style Ring Phone Ring/Grip/Stand/Holder für alle Handys und Tablets - Parent",,0524QGAF20K,SGP11760V,,0.0,24/05/2016 13:34:47 MEST,,y,1,,,11.0,,,,B01G3PRYRM,,,,,,B01G3PRYRM,,,0.0,DEFAULT,Standardvorlage Amazon,Incomplete,,
Spigen Tough Armor Kompatibel mit iPad mini 3 Hülle/iPad mini 2 Hülle/iPad mini Hülle - Metal Slate,"Spigen ist gegründet im Jahr 2008 und seitdem sind unsere Produkte weltweit erhältlich. Was macht unser Produkt einzigartig? Slim Protection. Pünktliche Verfügbarkeit. Große Auswahl an Geräten. Erstklassige Qualität. Unser Ziel ist es, der Branchenführer für mobiles Zubehör zu sein. Unser Ziel ist es, die besten Standards für unsere Produkte zu setzen und gleichzeitig kontinuierlich an der Produktentwicklung zu arbeiten.",0628UC3YYRA,SGP10623DEP,14.99,,29/06/2018 01:50:54 MEST,,y,4,,,11.0,,,,B01N7J4FOQ,,,,,,8809353619226,,,,AMAZON_EU,Standardvorlage Amazon,Inactive,,
Spigen F707SL Powerbank Schwarz (USB-C Cable Strap/5000mAh),,0620VQWB7QG,000BA27281DEP,13.99,,20/06/2019 09:48:00 MEST,,y,1,,,11.0,,,,B07T53QL9R,,,,,,B07T53QL9R,,,,AMAZON_EU,Standardvorlage Amazon,Inactive,,
Spigen Modern Fit Armband Kompatibel mit Galaxy Watch 7 40mm/44mm (2024) | FE (2024) | 6/6 Classic | 5/5 Pro | 4/4 Classic | 3 | Active und alle 20mm Smartwatches - Rosegold,,1221ZU3ZES8,amzn.gr.600WB24982PAN-6liyeFSgjj22M2i-LN,18.89,,21/12/2022 04:17:03 MET,,y,1,,Der Artikel wird in der Originalverpackung zugestellt.,1.0,,,,B07H7YRRCN,,,,,,B07H7YRRCN,,,,AMAZON_EU,Standardvorlage Amazon,Inactive,,
Spigen Samsung Galaxy A10e Variation,,0610V46FVT3,624CS27411V,,0.0,10/06/2019 10:39:35 MEST,,y,1,,,11.0,,,,B07SSSPH82,,,,,,B07SSSPH82,,,0.0,DEFAULT,Standardvorlage Amazon,Incomplete,,
Spigen Tough Armor Pro Kompatibel mit iPad Pro 12.9 Hülle mit Stifthalter (2020/2018) - Schwarz,"Das Tough Armor Pro kann mit Ihrem neuen iPad Pro aufgenommen werden. Es wurde gebaut, um dem Chaos des Lebens standzuhalten, ohne die Bequemlichkeit zu verlieren, wenn es Zeit zum Entspannen ist. Pass auf wie ein Profi.",0213XQHEDPM,ACS01027DEP,29.99,,14/02/2020 00:11:18 MET,,y,4,,,11.0,,,,B084SPT15G,,,,,,8809685629672,,,,AMAZON_EU,Standardvorlage Amazon,Inactive,,
"Spigen Glas.tR EZ Fit Optik Pro Kameraschutz kompatibel mit iPhone 17 Pro/Pro Max, iPhone 16 Pro/Pro Max, iPhone 15 Pro/Pro Max, 2 Stück, Schwarz, Individuelle Kameraprotektion, 9H Härte Folie",,1109ADWCOLE,AGL05205EUP,18.99,,09/11/2023 04:28:53 MET,,y,4,,,11.0,,,,B0B27WT562,,,,,,8809811866407,,,,AMAZON_EU,Standardvorlage Amazon,Active,,False
